,cnpj,razao_social,nome_fantasia,data_situacao_cadastral,data_inicio_atividade,cnae_fiscal,descricao_tipo_logradouro,logradouro,numero,bairro,municipio,cep,uf,correio_eletronico,qualificacao_responsavel,capital_social_empresa,porte_empresa,opcao_pelo_simples,data_opcao_pelo_simples,data_exclusao_simples,opcao_pelo_mei,situacao_especial,data_situacao_especial,jusbrasil,inidonea,numero_cnae,score,lat,lon
10,2776837000152,TRANSPORTADORA SAO TOME LTDA,,1998-09-30,1998-09-30,4930201,RUA,JOAO XAVIER PEREIRA SOBRAL,345-A,CENTRO,CEARA-MIRIM,59570000,RN,,49,0,5,0,,,N,,,0,0,0,0.0,-5.650983399999999,-35.4217803
11,3150649000187,CAIXA ESCOLAR DA ESCOLA MUNICIPAL PROF ANGELINA VASCONCELOS DE FARIA,,2019-02-21,1999-05-12,6630400,RUA,RAFAEL FERNANDES,S/N,BAIRRO NOVO,SAO JOSE DE MIPIBU,59162000,RN,,16,0,5,0,,,N,,,0,0,1,0.0,-6.0638553,-35.2398507
12,3157125000118,CAIXA ESCOLAR DA ESCOLA MUNICIPAL MARIA APARECIDA FERREIRA DE CARVALHO,,2019-02-21,1999-05-13,6630400,AVENIDA,SENADOR JOAO CAMARA,SN,TANCREDO NEVES,SAO JOSE DE MIPIBU,59162000,RN,,16,0,5,0,,,N,,,0,0,1,0.0,-6.063777,-35.2535481
13,3157155000124,CAIXA ESCOLAR DA ESCOLA MUNICIPAL EUSA DE MELO PALHANO,,2019-02-21,1999-05-13,6630400,RUA,JACUIPE,S/N,CENTRO,SAO JOSE DE MIPIBU,59162000,RN,,16,0,5,0,,,N,,,0,0,1,0.0,-6.0801709,-35.2375765
14,3177272000150,CAIXA ESCOLAR DA ESCOLA MUNICIPAL JANILSON FERREIRA,,2019-02-21,1999-05-24,6630400,SITIO,BURACOS,S/N,ZONA RURAL,SAO JOSE DE MIPIBU,59162000,RN,,16,0,5,0,,,N,,,0,0,1,0.0,-6.0742528,-35.2369601
15,3177299000142,CAIXA ESCOLAR DA ESCOLA MUNICIPAL JORGE FERREIRA DA SILVA,,2019-02-21,1999-05-26,6630400,SITIO,COBE,S/N,ZONA RURAL,SAO JOSE DE MIPIBU,59162000,RN,,16,0,5,0,,,N,,,0,0,1,0.0,-6.0742528,-35.2369601
16,3181993000133,CAIXA ESCOLAR DA ESCOLA MUNICIPAL JOSE GOMES DE LIMA,ESCOLA MUNICIPAL JOSE GOMES DE LIMA,2019-02-21,1999-05-24,6630400,SITIO,JACARACICA,SN,ZONA RURAL,SAO JOSE DE MIPIBU,59162000,RN,,16,0,5,0,,,N,,,0,0,1,0.0,-6.0190777,-35.3573989
17,3364553000111,ASSOC. DOS TRAB RURAIS DA AGROVILA NOVA ESPERANCA P. A. ROSARIO,,2005-11-03,1999-08-20,9430800,,ACENTAMENTO ROSARIO,S/N,ZONA RURL,CEARA-MIRIM,59570000,RN,associacaorosario@gmail.com,16,0,5,0,,,N,,,0,0,3,0.0,-5.6395379,-35.4237292
18,3826303000156,LOTERIA ZONA SUL LTDA,LOTERIA ZONA SUL,2005-11-03,2000-05-22,8299706,AVENIDA,AYRTON SENNA,1404,PARQUE DOS EUCALIPTO,PARNAMIRIM,59150000,RN,,49,0,1,5,2007-07-01,,N,,,0,0,0,0.0,-5.8885893,-35.19938560000001
19,3826303000237,LOTERIA ZONA SUL LTDA,LOTERIA CASA DA SORTE,2005-11-03,2001-12-04,8299706,AVENIDA,DAS ALAGOAS,1216,NEPOLIS,NATAL,59086200,RN,,49,0,1,5,2007-07-01,,,,,0,0,0,0.0,-5.865600199999999,-35.20665109999999
20,3954830000146,DEPOSITO DE GAS SAO TOME LTDA,,2005-08-27,2000-07-20,4784900,AVENIDA,XAVANTES,1970,PITIMBU,NATAL,59068600,RN,IVO@GRUPOSAOTOME.COM.BR,49,0,5,0,,,N,,,0,0,4,0.0,-5.8585878,-35.2334087
21,3954830000227,DEPOSITO DE GAS SAO TOME LTDA,,2004-02-12,2000-10-16,4784900,AVENIDA,XAVIER  DA  SILVEIRA,1747,MORRO BRANCO,NATAL,59075430,RN,,49,0,5,0,,,,,,0,0,0,0.0,-5.819006099999999,-35.201088
22,3954830000308,DEPOSITO DE GAS SAO TOME LTDA,DEPOSITO DE CEARA MIRIM,2007-07-30,2007-07-30,4784900,RUA,JOAO XAVIER PEREIRA SOBRAL,345,CENTRO,CEARA-MIRIM,59570000,RN,ivonilsonme@samnet.com.br,49,0,5,0,,,,,,0,0,1,0.0,-5.650983399999999,-35.4217803
23,3954830000499,DEPOSITO DE GAS SAO TOME LTDA,DEPOSITO DE JOAO CAMARA,2007-10-22,2007-10-22,4784900,RUA,ANTONIO PROENCA,601,CENTRO,JOAO CAMARA,59550000,RN,ivonilsonme@samnet.com.br,49,0,5,0,,,,,,0,0,1,0.0,-5.537023899999999,-35.8167053
24,3954830000570,DEPOSITO DE GAS SAO TOME LTDA,,2018-10-04,2009-11-09,4784900,RUA,CAMPINA GRANDE,70,CIDADE DA ESPERANCA,NATAL,59070150,RN,joselinotomas28@hotmail.com,49,0,5,0,,,,,,0,0,1,0.0,-5.8225332,-35.2363092
25,3954830000650,DEPOSITO DE GAS SAO TOME LTDA,,2012-03-28,2009-11-09,4784900,AVENIDA,RIO GRANDE DO SUL,81,CIDADE DA ESPERANCA,NATAL,59071300,RN,joselinotomas28@hotmail.com,49,0,5,0,,,,,,0,0,0,0.0,-5.8231283,-35.240063
26,3954830000731,DEPOSITO DE GAS SAO TOME LTDA,,2009-11-09,2009-11-09,4784900,RUA,JOAO TEIXEIRA,62,CENTRO,MACAU,59500000,RN,gilvandantas@ig.com.br,49,0,5,0,,,,,,0,0,1,0.0,-5.1139307,-36.63797479999999
27,3954830000812,DEPOSITO DE GAS SAO TOME LTDA,,2012-03-28,2009-11-09,4784900,RUA,JOAO MACHADO GUIMARAES,26,CENTRO,LAGOA NOVA,59390000,RN,gilvandantas@ig.com.br,49,0,5,0,,,,,,0,0,1,0.0,-6.0937388,-36.4681679
28,3954830000901,DEPOSITO DE GAS SAO TOME LTDA,,2015-05-15,2009-11-09,4784900,AVENIDA,DEP ANTONIO FLORENCIO DE QUEIROZ,2327,PONTA NEGRA,NATAL,59092500,RN,joselinotomas28@hotmail.com,49,0,5,0,,,,,,0,0,1,0.0,-5.8891719,-35.1803065
29,3954830001037,DEPOSITO DE GAS SAO TOME LTDA,,2015-05-15,2009-11-09,4784900,RUA,NELSON MATOS,1159,NOVA DESCOBERTA,NATAL,59075380,RN,joselinotomas28@hotmail.com,49,0,5,0,,,,,,0,0,1,0.0,-5.8246734,-35.1983486
30,3954830001118,DEPOSITO DE GAS SAO TOME LTDA,,2015-05-15,2009-11-09,4784900,RUA,JUIZ DE FORA,2951,NEOPOLIS,NATAL,59086440,RN,joselinotomas28@hotmail.com,49,0,5,0,,,,,,0,0,1,0.0,-5.869299799999999,-35.2093962
31,3954830001207,DEPOSITO DE GAS SAO TOME LTDA,,2015-05-15,2009-11-09,4784900,RUA,SAO JOSE,25,LAGOA NOVA,NATAL,59031630,RN,joselinotomas28@hotmail.com,49,0,5,0,,,,,,0,0,1,0.0,-5.820249899999999,-35.2154379
32,3954830001380,DEPOSITO DE GAS SAO TOME LTDA,,2015-05-15,2009-11-09,4784900,RUA,JOAO MARTINS NASCIMENTO,91,CENTRO,JAPI,59213000,RN,gilvandantas@ig.com.br,49,0,5,0,,,,,,0,0,1,0.0,-6.465897900000001,-35.9452648
33,3954830001460,DEPOSITO DE GAS SAO TOME LTDA,,2015-05-15,2009-11-09,4784900,RUA,JOANA DARC,1755,CANDELARIA,NATAL,59065620,RN,joselinotomas28@hotmail.com,49,0,5,0,,,,,,0,0,0,0.0,-5.8331646,-35.2208487
34,3954830001541,DEPOSITO DE GAS SAO TOME LTDA,,2009-11-09,2009-11-09,4784900,RUA,CORONEL JOAQUIM TEIXEIRA,235 A,CENTRO,LAJES,59535000,RN,IVOLOPES@GRUPOSAOTOME.COM.BR,49,0,5,0,,,,,,0,0,1,0.0,-5.6943529,-36.2375939
35,3954830001622,DEPOSITO DE GAS SAO TOME LTDA,,2015-05-15,2009-11-09,4784900,AVENIDA,GASTAO MARIZ DE FARIA,33,NOVA PARNAMIRIM,PARNAMIRIM,59152110,RN,joselinotomas28@gmail.com,49,0,5,0,,,,,,0,0,1,0.0,-5.8908074,-35.192633
36,3954830001703,DEPOSITO DE GAS SAO TOME LTDA,,2009-11-09,2009-11-09,4784900,RUA,GENERAL OZORIO,737,CENTRO,BARCELONA,59410000,RN,gilvandantas@ig.com.br,49,0,5,0,,,,,,0,0,1,0.0,-5.9513419,-35.9274014
37,3954830001894,DEPOSITO DE GAS SAO TOME LTDA,,2018-10-18,2009-11-09,4784900,RUA,TOTA AZEVEDO,702,CENTRO,RIACHUELO,59470000,RN,gilvandantas@ig.com.br,49,0,5,0,,,,,,0,0,1,0.0,-5.814502999999999,-35.8240068
38,3954830001975,DEPOSITO DE GAS SAO TOME LTDA,,2012-03-28,2009-11-09,4784900,RUA,RITINHA COELHO,80,LAGOA SECA,NATAL,59032220,RN,joselinotomas28@hotmail.com,49,0,5,0,,,,,,0,0,0,0.0,-5.8091016,-35.2137843
39,3954830002009,DEPOSITO DE GAS SAO TOME LTDA,,2012-03-28,2009-11-09,4784900,RUA,AGNALDO GURGEL JUNIOR,1016,CANDELARIA,NATAL,59066030,RN,joselinotomas28@hotmail.com,49,0,5,0,,,,,,0,0,0,0.0,-5.8479791,-35.2167771
40,3954830002190,DEPOSITO DE GAS SAO TOME LTDA,,2014-03-28,2009-11-09,4784900,RUA,UBERLANDIA,4549,NOVA PARNAMIRIM,PARNAMIRIM,59150110,RN,joselinotomas28@hotmail.com,49,0,5,0,,,,,,0,0,0,0.0,-5.8723171,-35.2140929
41,3954830002270,DEPOSITO DE GAS SAO TOME LTDA,,2014-03-28,2009-11-09,4784900,AVENIDA,PROF OLAVO MONTENEGRO,2990,CAPIM MACIO,NATAL,59078330,RN,joselinotomas28@hotmail.com,49,0,5,0,,,,,,0,0,0,0.0,-5.848114799999999,-35.2020378
42,3954830002351,DEPOSITO DE GAS SAO TOME LTDA,,2010-08-18,2010-08-18,4784900,RUA,ANALIA JOVEM DE PAULA,143,PARQUE INDUSTRIAL,PARNAMIRIM,59149196,RN,joselinotomas28@hotmail.com,49,0,5,0,,,,,,0,0,1,0.0,-5.884585,-35.2529673
43,3954830002432,DEPOSITO DE GAS SAO TOME LTDA,,2010-08-18,2010-08-18,4784900,RUA,DO COITE,180,CENTRO,MACAIBA,59280000,RN,IVOLOPES@GRUPOSAOTOME.COM.BR,49,0,5,0,,,,,,0,0,1,0.0,-5.8512315,-35.354505
44,4833413000108,PRESERVICE RECURSOS HUMANOS LTDA,PRESERVICE,2002-10-12,2001-12-21,7810800,AVENIDA,CAPITAO MOR GOUVEIA - CEASA SHOPPING,3005,LAGOA NOVA,NATAL,59076400,RN,preservice@uol.com.br,49,260000,5,0,,,N,,,0,0,1,0.0,-5.823292299999999,-35.2251497
45,4839900000188,AUTO POSTO SAO TOME LTDA,,2005-08-27,2001-12-18,4731800,AVENIDA,BEL. TOMAZ LANDIM,1340,OLHO DAGUA,SAO GONCALO DO AMARANTE,59290000,RN,IVOLOPES@GRUPOSAOTOME.COM.BR,49,150000,5,0,,,N,,,0,0,5,1.6666666666666698,-5.776098,-35.2532834
46,4839900000269,AUTO POSTO SAO TOME LTDA,DISTRIBUIDORA SAO TOME LTDA,2004-03-26,2002-09-12,4681805,AVENIDA,TOMAZ LANDIM SALA C,1340,NOVA ZELANDIA,SAO GONCALO DO AMARANTE,59290000,RN,IVONILSONME@SAMNET.COM.BR,49,0,5,0,,,,,,0,0,0,0.0,-5.7669866,-35.2769408
47,4839900000340,AUTO POSTO SAO TOME LTDA,POSTO SAO TOME II,2006-03-08,2006-03-08,4731800,RUA,BARAO DO RIO BRANCO,190,CENTRO,SAO TOME,59400000,RN,IVONILSONME@SAMNET.COM.BR,49,0,5,0,,,,,,0,0,3,0.0,0.0,0.0
48,4839900000420,AUTO POSTO SAO TOME LTDA,AUTO POSTO SAO TOME,2008-08-26,2008-08-26,4731800,RUA,IRMA ALUISIA,502,CENTRO,CAICARA DO NORTE,59592000,RN,IVOLOPES@GRUPOSAOTOME.COM.BR,49,0,5,0,,,,,,0,0,3,0.0,-5.1408124,-35.9805528
49,4839900000501,AUTO POSTO SAO TOME LTDA,POSTO SAO TOME IV,2009-05-05,2009-05-05,4731800,AVENIDA,17 DE SETEMBRO,7,CENTRO,RIO DO FOGO,59578000,RN,IVOLOPES@GRUPOSAOTOME.COM.BR,49,0,5,0,,,,,,0,0,3,0.0,-5.276305799999999,-35.383351
50,4839900000692,AUTO POSTO SAO TOME LTDA,,2010-04-08,2010-04-08,4731800,AVENIDA,ANTONIO BASILIO,2015,MURIU,CEARA-MIRIM,59570000,RN,IVOLOPES@GRUPOSAOTOME.COM.BR,49,0,5,0,,,,,,0,0,3,0.0,-5.566152799999999,-35.2432305
51,4839900000773,AUTO POSTO SAO TOME LTDA,AUTO POSTO SAO TOME VI,2011-10-06,2011-10-06,4731800,RUA,CORONEL JOAQUIM TEIXEIRA,235,CENTRO,LAJES,59535000,RN,IVOLOPES@GRUPOSAOTOME.COM.BR,49,0,5,0,,,,,,0,0,3,0.0,-5.6943529,-36.2375939
52,4839900000854,AUTO POSTO SAO TOME LTDA,AUTO POSTO SAO TOME VII,2011-11-01,2011-11-01,4731800,AVENIDA,DOS ARRECIFES,245,CENTRO,SAO MIGUEL DO GOSTOSO,59585970,RN,IVOLOPES@GRUPOSAOTOME.COM.BR,49,0,5,0,,,,,,0,0,3,0.0,-5.1957184,-35.7100589
53,5088203000103,SUPERCOOP COOP DE PRESTACAO DE SERVICOS VAREJISTAS DE SUPERMERCADOS DO RN,SUPERCOOP,2018-11-07,2002-02-25,7490104,RUA,SAO LUIS,180,CIDADE DA ESPERANCA,NATAL,59070055,RN,alvaro_alka@interjato.com.br,16,0,5,0,,,N,,,0,0,0,0.0,-5.8253438,-35.2329051
54,6073039000115,G4 LAVAGEM AUTOMOTIVA LTDA,,2005-07-16,2004-01-23,4520005,AVENIDA,GOV. TARCISIO DE VASCONCELOS MAIA,1450,CANDELARIA,NATAL,59065780,RN,,49,0,3,5,2007-07-01,,N,,,0,0,0,0.0,-5.8375146,-35.226999
55,6177153000195,ASSOCIACAO PARA O DESENVOLVIMENTO DA MULHER DE SAO JOSE DE PEDREGULHO,A D M,2003-12-16,2003-12-16,9430800,RUA,SAO JOSE,S/N,A. SAO J. PEDREGULHO,CEARA-MIRIM,59570000,RN,mulheresdepedregulho@yahoo.com.br,16,0,5,0,,,N,,,0,0,3,0.0,-5.6361263,-35.4289855
56,6871259000194,CAIXA ESCOLAR DA ESCOLA MUNICIPAL FELIPE TAVARES DE PAIVA,,2019-02-21,2004-07-20,6630400,,POVOADO DE TABORDA,SN,ZONA RURAL,SAO JOSE DE MIPIBU,59162000,RN,,16,0,5,0,,,N,,,0,0,1,0.0,-5.9757102,-35.2783602
57,7018761000110,W B COMERCIO E SERVICOS LTDA,UNIVERSAL COMERCIO,2004-10-01,2004-10-01,4691500,RUA,CAPITAO DOBICO,2425,LAGOA NOVA,NATAL,59063340,RN,PARALEGAL@ELITECONSULTORES.COM.BR,49,1500000,1,8,2007-07-01,2011-12-31,N,,,0,0,69,23.0,-5.820337299999999,-35.2199246
58,7018761000209,W B COMERCIO E SERVICOS LTDA,UNIVERSAL COMERCIO,2014-11-25,2014-11-25,4691500,AVENIDA,ANTONIO BASILIO,3006,LAGOA NOVA,NATAL,59056005,RN,PARALEGAL@ELITECONSULTORES.COM.BR,49,0,1,8,2007-07-01,2011-12-31,,,,0,0,69,23.0,-5.8145546,-35.20822500000001
59,7099048000148,ASSOCIACAO DO PROJETO DE ASSENTAMENTO E REF AGRARIA RIACHAO,,2004-11-18,2004-11-18,9430800,,COMUNIDADE DE RIACHAO,S/N,ZONA RURAL,CEARA-MIRIM,59570000,RN,associacaoref@gmail.com,16,0,5,0,,,N,,,0,0,3,0.0,-5.6435838,-35.4389966
60,7442731000136,JMT SERVICOS DE LOCACAO DE MAO DE OBRA LTDA,JMT SERVICE LOCACAO DE MAO DE OBRA,2005-06-17,2005-06-17,7820500,RUA,DOS POTIGUARES,2300,NOSSA SENHORA DE NAZARE,NATAL,59062280,RN,ACERTCONTABIL@GMAIL.COM,49,12000000,5,0,,,N,,,0,0,20,6.66666666666667,-5.8163398,-35.22420960000001
61,7513355000123,CAIXA ESCOLAR DA ESCOLA MUNICIPAL VEREADOR ANTONIO FERREIRA DA SILVA,CAIXA ESCOLAR,2019-02-21,2005-07-27,6630400,,LOCALIDADE DE QUEBRA FUZIL,-,QUEBRA FUZIL,SAO JOSE DE MIPIBU,59162000,RN,,16,0,5,0,,,N,,,0,0,1,0.0,-6.0628125,-35.2436914
62,7513384000195,CAIXA ESCOLAR DA ESCOLA MUNICIPAL BERNARDO DE SOUZA DE COUTINHO,CAIXA ESCOLAR,2019-02-21,2005-07-27,6630400,,LOCALIDADE DE AREIA BRANCA,S/N,AREIA BRANCA,SAO JOSE DE MIPIBU,59162000,RN,,16,0,5,0,,,N,,,0,0,1,0.0,-6.029963599999999,-35.23831759999999
63,7527703000111,CAIXA ESCOLAR DA ESCOLA MUNICIPAL PROFESSORA SEVERINA FERREIRA DA SILVA,CAIXA ESCOLAR,2019-02-21,2005-07-27,6630400,,LOCALIDADE DE MENDEZINHO,S/N,MENDEZINHO,SAO JOSE DE MIPIBU,59162000,RN,,16,0,5,0,,,N,,,0,0,1,0.0,-6.0742528,-35.2369601
64,8091529000170,COMERCIAL ZONA SUL LTDA,,2006-06-23,2006-06-23,4639701,AVENIDA,PAULO MANGABEIRA DE ARAUJO,SN,JARDIM POTIGUAR,MACAIBA,59280000,RN,zonasul_setorcontabil@yahoo.com.br,49,265000,1,6,2007-07-01,2009-12-31,N,,,0,0,14,4.66666666666667,-5.8552816,-35.3524251
65,8345105000194,ASSOCIACAO DE MULHERES LUTADORAS DE LILAS DO BOQUEIRAO,,2006-05-09,2006-05-09,161099,SITIO,BOQUEIRAO,SN,ZONA RURAL,TOUROS,59584000,RN,,16,0,5,0,,,N,,,0,0,32,10.6666666666667,-5.1961669,-35.4635381
66,8378909000190,CAIXA ESCOLAR DA ESCOLA MUNICIPAL MARCINA GALVAO DE AZEVEDO,ESCOLA MUNICIPAL MARCINA GALVAO DE AZEVEDO,2018-11-07,2006-09-19,6630400,RUA,26 DE JULHO,284,CENTRO,SAO JOSE DE MIPIBU,59162000,RN,,16,0,5,0,,,N,,,0,0,1,0.0,-6.0706161,-35.2381276
67,8700130000149,IVO NILSON LOPES DE MEDEIROS EIRELI,,2003-07-26,1983-11-29,4784900,TRAVESSA,FRANCISCO ANTONIO,S/N,CENTRO,SAO TOME,59400000,RN,IVOLOPES@GRUPOSAOTOME.COM.BR,65,88000,5,0,,,N,,,0,0,1,0.0,-5.9840258,-36.1328132
68,8700130000220,IVO NILSON LOPES DE MEDEIROS EIRELI,,2003-07-26,1997-02-14,4784900,RUA,VINT E SETE DE MARCO,550,CENTRO,TOUROS,59584000,RN,IVOLOPES@GRUPOSAOTOME.COM.BR,65,0,5,0,,,,,,0,0,1,0.0,-5.1952181,-35.4688089
69,8700130000300,IVO NILSON LOPES DE MEDEIROS EIRELI,,2003-07-26,1997-10-14,4784900,RUA,SAO FELIX,182,CONJ CONEGO MONTE,SANTA CRUZ,59200000,RN,IVOLOPES@GRUPOSAOTOME.COM.BR,65,0,5,0,,,,,,0,0,1,0.0,-6.23359,-36.012249
70,8700130000491,IVO NILSON LOPES DE MEDEIROS EIRELI,,2018-09-13,2000-03-28,4784900,AVENIDA,SEBASTIAO FERREIRA LIMA,65,CENTRO,TANGARA,59240000,RN,IVOLOPES@GRUPOSAOTOME.COM.BR,65,0,5,0,,,,,,0,0,0,0.0,-6.2012339,-35.8011046
71,8700130000572,IVO NILSON LOPES DE MEDEIROS EIRELI,,2004-11-22,2001-04-27,4784900,RUA,PAULO AFONSO,757,PARAISO,SANTA CRUZ,59200000,RN,,65,0,5,0,,,,,,0,0,0,0.0,-6.2314015,-36.0276815
72,8700130000653,IVO NILSON LOPES DE MEDEIROS EIRELI,,2004-12-29,2001-05-16,4784900,RUA,JOSE CAMINHA FIUZA,210,CENTRO,SANTA CRUZ,59200000,RN,,65,0,5,0,,,,,,0,0,0,0.0,-6.227563,-36.0216173
73,8700130000734,IVO NILSON LOPES DE MEDEIROS EIRELI,,2004-12-28,2001-05-29,4784900,RUA,SANTA IZABEL,34,CONJ CONEGO MONTE,SANTA CRUZ,59200000,RN,,65,0,5,0,,,,,,0,0,0,0.0,-6.2292689,-36.0095143
74,8700130000815,IVO NILSON LOPES DE MEDEIROS EIRELI,,2010-03-31,2010-03-31,4784900,RUA,JOAO SALVADOR,24,OLHO DAGUA DOS CARRILHOS,SAO GONCALO DO AMARANTE,59290000,RN,IVOLOPES@GRUPOSAOTOME.COM.BR,65,0,5,0,,,,,,0,0,1,0.0,-12.977749,-38.5016301
75,8700130000904,IVO NILSON LOPES DE MEDEIROS EIRELI,IVO NILSON LOPES DE MEDEIROS ME,2015-03-16,2010-05-05,4784900,RUA,BAIXA VERDE,103,PORTO SAO PEDRO,MACAU,59500000,RN,joselinotomas28@hotmail.com,65,0,5,0,,,,,,0,0,1,0.0,-5.109522699999999,-36.6288163
76,8700130001030,IVO NILSON LOPES DE MEDEIROS EIRELI,,2016-09-09,2010-07-01,4784900,ESTRADA,RN 160,1500,CENTRO,EXTREMOZ,59575000,RN,IVOLOPES@GRUPOSAOTOME.COM.BR,65,0,5,0,,,,,,0,0,0,0.0,-5.885472900000001,-35.3671929
77,8700130001110,IVO NILSON LOPES DE MEDEIROS EIRELI,,2015-03-16,2010-09-13,4784900,RUA,DR HERACLITO VILAR,999,CENTRO,MACAIBA,59280000,RN,joselinotomas28@hotmail.com,65,0,5,0,,,,,,0,0,0,0.0,-5.8661221,-35.3452079
78,8700130001200,IVO NILSON LOPES DE MEDEIROS EIRELI,,2016-09-09,2010-09-03,4784900,RUA,IRACI PEREIRA MACHADO,141,LOT NOVO SAO GONCALO,SAO GONCALO DO AMARANTE,59290000,RN,IVOLOPES@GRUPOSAOTOME.COM.BR,65,0,5,0,,,,,,0,0,0,0.0,-5.792934,-35.336634
79,8700130001382,IVO NILSON LOPES DE MEDEIROS EIRELI,,2015-03-16,2010-09-08,4784900,RUA,DOS GIRASSOIS,26,JARDIM PETROPOLIS,SAO GONCALO DO AMARANTE,59290000,RN,joselinotomas28@hotmail.com,65,0,5,0,,,,,,0,0,0,0.0,-5.7507209,-35.2990534
80,8700130001463,IVO NILSON LOPES DE MEDEIROS EIRELI,,2016-09-09,2010-09-13,4784900,RUA,SAO LUIZ,SN,NOVO AMARANTE,SAO GONCALO DO AMARANTE,59290000,RN,IVOLOPES@GRUPOSAOTOME.COM.BR,65,0,5,0,,,,,,0,0,0,0.0,-5.7723512,-35.2722013
81,9147121000135,CAIXA ESCOLAR DA ESCOLA MUNICIPAL PROFA. MARIA MIRTES DA SILVA ARAUJO,ESCOLA MUNICIPAL PROFA. MARIA MIRTES DA SILVA ARAUJO,2019-01-05,2007-07-10,8599699,RUA,CEL. TRAJANO,S/N,CENTRO,SAO JOSE DE MIPIBU,59162000,RN,smecd@yahoo.com.br,16,0,5,0,,,N,,,0,0,0,0.0,-6.074963299999999,-35.238652
